msg_content,msg_id
На глаза попалась любопытная ссылка на интернет-книгу Cloud Data Management от Chartio.  Основы организации и управления дата стеком в 4х этапах.,166
"Наконец-то получил книгу от @bogachev11, автора телеграмм-канала @chartomojka, читаю второй день и не могу оторваться :)",168
"В следующий вторник, 10го ноября приму участие в дискуссии QTalks, будем обсуждать различия BI-платформ.",170
"​​Друзья, мы продолжаем «Qtalks» дискуссии.  Актуальным остаётся вопрос различия BI-платформ. И мы вместе с приглашёнными экспертами хотим обсудить Qlik, Tableau, MS Power BI и пр. Это конкуренты или союзники?! В чем же принципиальные различия основных инструментов аналитики?! Какие ключевые подходы следует учитывать при выборе платформы и при разработке?! Где ниже порог входа, а где шире функционал?! Каковы перспективы инструментов?!  Qtalks #2 ONLINE пройдёт 10 ноября в 19.00  http://meetu.ps/e/Jwd16/MBSzR/a",171
"А о том, как правильно пользоваться данными и принимать верные решения лучше всего узнавать от профессионалов своего дела. Ранее я уже писал о Матемаркетинге, но повторю для тех, кто пропустил.  В этом году Матемаркетинг-2020 это огромное количество крутых спикеров, которые в рамках паралелльных сессий за 4 дня выдадут максимум полезного контента. Мне посчастливилось стать одним из поставщиков такого контента: буду рассказывать о современном облачном data стэке и о сравнении дашбордов в разных BI-инструментах.  Ребята сделали крутую LMS, на которой уже сейчас доступен прошлогодний контент и появится контент этого года, доступ в чаты и прочие приятности.  Рекомендую прямо сейчас купить билет, если вы еще не сделали, так как Матемаркетинг начнется 9го ноября (завтра!) и продлится до 13го ноября.  У подписчиков LEFT JOIN эксклюзивная скидка 15% по промокоду VALIOTTI.",173
Интересная статья о планируемых нововведениях в Google Analytics 4 и переходе на event-based data model: https://ken-williams.com/guide/what-is-google-analytics-4/,174
"В последнем видео был обзор дашборда на Tableau, а сегодня нам помог и записал видео главный разработчик QlikSense в компании «Евроцемент груп» Алексей Гриненко — публикуем новую часть гайда по BI-системам: обзор дашборда на QlikSense.  Как и в прошлый раз, мы просим вас ознакомиться с результатом, приведённым в материале блога и ответить на два небольших вопроса.",175
"Классный инструмент для примеривания цветовой гаммы диаграммы. Думаю, можно использовать и не только для D3.js 🙂",179
"Опубликован список докладов конференции Coalesce (да-да, от тех самых создателей dbt, которые недавно вновь привлекли инвестиции).   Самое время зарегистрироваться и добавить интересующие доклады в свой календарь.  Среди наименований встречаются интересные вещи типа: «Cleaning the fish: A sushi-inspired approach to clean datasets» 🍣🧹📁",181
"Сегодня публикуем новую часть гайда по BI-системам — обзор дашборда в PowerBI. С отчетом нам помогла Анастасия Стефанова, аналитик Sravni.ru.   Ознакомьтесь с результатом в материале блога и ответьте на два небольших вопроса.",182
"Рома записал классный выпуск лайфхаков, в котором рассказывает как сделать удобную легенду, которая адаптируется в размерах, рекомендую.   Вдогонку, таким же способом можно организовать фильтрацию дашборда в целом (на видео сейчас используется привычный хайлайт на графике).",185
"Подготовил новый выпуск «Лайфхаков в Табло».  0:00 — Как сделать удобную цветовую легенду 3:00 — Как подписать точки на графике по условию 7:12 — Как избежать проблем при работе с Табло на Windows  ⚠️ Про последний пункт даже написал заметку. Он очень важен для тех, кто работает с Windows и с размером шрифта в системе больше 100%.   #лайфхаки",186
"Внутри сервиса Тинькофф Инвестиции расположилась целая социальная сеть инвесторов «Пульс», где люди делятся своими прогнозами, мыслями и планами. В материале рассказываем, как спарсить частотный словарь и построить биграммы по постам пользователей, разделив их по объёму инвестиционного портфеля.  https://leftjoin.ru/all/tinkoff-pulse-frequency-dict/",187
"Команда dbt запустила собственный курс по изучению, как ни странно, dbt.  Курс бесплатный.",188
"В прошлый раз мы говорили о PowerBI, а на этой неделе рассмотрим дашборд в SAP Analytics Cloud, который сделал для нас Алексей Салынин – ведущий BI консультант SAPRUN.   Посмотрите на результат в материале блога и ответьте на два небольших вопроса.",189
"Прошел этот курс, делюсь своими впечатлениями. Курс классный, в нем много практики. Я использовал Google BigQuery и публичные датасеты от dbt для решения описанных примеров, а в обучающих материалах все построено на Snowflake.  В целом, узнал много нового и полезного о dbt, кратко summary: * Во введении ребята объясняют роль Analytics Engineer, о котором так много разговоров и ссылаются на их пост блога * Дается исчерпывающая информация о том, как подключить dbt к вашему хранилищу и .git  * В dbt довольно тривиальными запросами реализовано тестирование данных на предмет уникальности, соответстия значениям (это реально базовые SQL-запросы, которые проверяют наличие / отсутствия поля или значений) И тут интересно следующее: когда пишешь самостоятельно похожие запросы иногда думаешь, что во всем остальном мире так никто не делает, ну, к примеру: SELECT sum(amount) FROM ... HAVING sum(amount)>0 А оказывается еще как делают, вот даже публично внутри dbt все эти тесты так и реализованы.  И, кстати, крайне удобно, что SQL-код каждого теста можно изучить (скомпилировать) * Круто и удобно формируется документация и DAG (directed acyclic graph), который показывает все шаги преобразований модели * Поскольку dbt построен на Liquid и использовании Jinja (движок шаблонов в python), то можно делать всякие невероятные вещи вроде написания внутреннего макроса (читай, условный операторы, циклы или создание функций) и применять этот макрос для автоматизации однотипных частей запроса. Это прям вау 🙂 * Многие вещи уже придуманы и разработаны коммьюнити, поэтому существует dbt hub, через который можно подключить интересующие пакеты и не изобретать велосипед. * Отдельного упоминания достойны алгоритмы формирования инкрементального наполнения таблиц и создания снэпшотов. Для одного из проектов абсолютно такой же алгоритм по созданию снэпшотов с date_form /  date_to мне доводилось проектировать самостоятельно. Было приятно увидеть, что у ребят из dbt это работает абсолютно аналогичным образом. * Разумеется, используя Jinja и dbt, можно автоматизировать построение аналитических запросов, это так и называется Analyses. Скомпилированный код запроса, можно имплементировать в любимую BI-систему и наслаждаться результатами.  Общие впечатления очень положительные: dbt ждет большое будущее и развитие, т.к. коммьюнити растет вместе с возможностями и ресурсами компании. Ждем коннекторов к другим СУБД помимо PostgreSQL, BigQuery, Snowflake, Redshift.",192
"В новом видео цикла гайдов по BI-системам поговорим о Redash. Это SQL-консоль, которую можно подключить к множеству различных источников данных, писать запросы и составлять по результатам отчёты-визуализации.   Посмотрите на полученный результат в материале блога и ответьте на два небольших вопроса.",193
"Бытует мнение, что аналитик в наше время может обойтись без уверенной математической базы (об этом гласят многие программы подготовки аналитиков). С моей же точки зрения тяжело рассуждать о вероятности оттока, не понимая теории вероятностей, сложно говорить о медиане и нормальности распределения, не зная математическую статистику, и точно не рассчитать градиент функции, не понимая математического анализа: список можно продолжать долго.   Но есть спасение — море бесплатных курсов от ведущих американских вузов! Собрал подборку по всему курсу математики и приложил дополнительный курс по R для анализа данных. Внутри курсы от Harvard, MIT и Georgia Tech. Даже если вы, как и я, уже изучили всё это 15 лет назад — повторение пройденного материала крайне полезно.  https://leftjoin.ru/all/free-education-for-analysts/",196
"Конференция Coalesce от dbt: что посмотреть?   С 7 по 11 декабря проходила конференция Coalesce, о которой я рассказывал ранее. В этом году все организаторы решили проводить конференции по 5 дней с кучей докладов.  С одной стороны это плюс — ощущение, что информации много и можно выбрать, что интересно. С другой стороны такое количество информации несколько изматывает, потому что часто по названию доклада не очень понятно насколько он окажется полезным и интересным. Мне все же кажется, что более трех дней для конференции это много, т.к. интерес аудитории теряется, да и необходимость заниматься своими личными и профессиональными делами не может испариться из-за события, которое хоть и в онлайне, но занимает твое внимание.   Однако мне удалось посмотреть большую часть докладов, кое-что пролистывая. Для начала коротко в целом о впечатлениях: очень круто изучать доклады с подобной конференции как Coalesce, потому что речь идет в основном о современных инструментах и облачных решениях. Почти в каждом докладе можно услышать про Redshift / BigQuery / Snowflake, а с точки зрения BI: Mode / Tableau / Looker / Metabase. В центре всего, разумеется, dbt.  Мой шорт-лист докладов, которые рекомендую изучить:  * dbt 101 — вводный доклад и интро в то, что такое dbt и как его используют * Kimball in the context of the modern data warehouse: what's worth keeping, and what's not — интересный и очень-очень спорный доклад, который вызвал массу вопросов в slack dbt. В кратце, автор предлагает перейти на ""широкие"" аналитические таблицы и отказаться от нормальных форм всюду.  * Building a robust data pipeline with dbt, Airflow, and Great Expectations — в докладе про небезынтересный инструмент greatexpectations, суть которого в валидации данных * Orchestrating dbt with Dagster — мне было несколько скучновато слушать, но если хочется познакомиться с Dagster - самое то * Supercharging your data team — ребята сделали обертку к dbt, назвали dbt executor 9000 и рассказывают о нем * Presenting: SQLFluff — про очень классную штуку SQLFluff, которая автоматически редактирует SQL-код согласно канонам * Quickstart your analytics with Fivetran dbt packages— из доклада можно узнать, что такое Fivetran и как его используют совместно с dbt * Perfect complements: Using dbt with Looker for effective data governance — про взаимодействие dbt и looker, про различия и схожие части инструментов  @leftjoin",197
"И книжка, действительно, очень хорошая, рекомендую.",198
"Самое сложно при построении аналитического решения, это не построить решение, а сделать так, чтобы его использовали. Можно наделать много дашбордов, моделей и витрин данных, но никто не будет их использовать.   Когда мы, что-то строим, мы думаем - “какая полезная информация, как она будет полезна бизнесу”. Но это лишь у нас в голове. Это называется bias, мы рисуем оптимистичную картинку. Но я не про bias, сейчас, хотя считаю, что знание типо bias и вообще, что это такое, это очень важно. Про это хорошо написано в книге “Думай медленно, решай быстро”.  Пост, про необходимость использовании метаданных о данных или по простому - Data /Bi/Analytics portal. То есть это место, куда может зайти бизнес пользователь, и ввести в поисковой строке название показателя или измерения и найти, нужный отчет или таблицу + логику трансформаций. А если в компании (крупной) используются многие решения, то нужно сделать универсальный портал, а это уже как отдельный проект.  Самый главный критерий здесь - это избежать ручной работы - Copy Paste. Так как все очень быстро устаревает.   В комментариях люди могут поделиться про свои успешные или неуспешные кейсы.   А вот от взрослых компаний: Democratizing Data at Airbnb Metacat: Making Big Data Discoverable and Meaningful at Netflix Databook: Turning Big Data into Knowledge with Metadata at Uber Turning Metadata Into Insights with Databook DataHub: Popular metadata architectures explained The journey of metadata at PayPal Nemo: Data discovery at Facebook",199
"В новом видео по BI-системам говорим о дашборде, построенном в Google DataStudio: как подключить к дашборду датасорс из гугл-таблиц или из других источников, добавить новые фактоиды и настроить данные и визуализации.  Посмотрите на полученный результат, на оценки нашей команды в материале блога и ответьте на два небольших вопроса.",201
Действительно классный туториал и интересный канал,204
"Наташа Степанова, канал — @visualize_it, начала писать туториалы по библиотеке d3.js. Это отличная инициатива — хороших материалов по d3 на русском очень мало. Туториалы подойдут для тех кто знает основы html, css и js, но не работал с библиотекой и хочет не просто «копировать кусочки кода», а более глубоко разобраться как работает d3.  #ссылка",205
"В рекламном кабинете ВКонтакте при публикации объявления есть функция автоматического подбора целевой аудитории, но можно пойти и другим путём –– загрузить файл с идентификаторами конкретных людей, которым нужно показать рекламу. В новом материале рассказываем, как написать парсер участников сообществ конкурентов для VK API и загрузить полученную аудиторию в рекламный кабинет.   Мы попробовали запускать объявления обоими способами: бонусом в конце материала сравниваем результаты и отвечаем на вопрос, какой метод подбора аудитории оказался выгоднее.",206
"Периодически рассказываю о новых каналах, которые меня заинтересовывают, сегодня хочу порекомендовать канал @R4marketing.  Автор канала — Алексей Селезнёв, руководитель отдела аналитики в Netpeak.   Ранее большую часть анализа данных я делал на языке R и буквально пару лет назад перешел на Python, однако R - очень важный язык программирования для анализа данных. И канал Алексея как раз посвящен зыку R. На данный момент там собрано огромное количество русскоязычных материалов по изучения R: - Статьи - Видео уроки - Вебинары и доклады с конференций - Заметки по R - Книги - Новости и релизы из мира R  В канале опубликовано более 450 ссылок на русскоязычные материалы по R.  Если вам интересна и актуальна тема языка R, обязательно подписывайтесь!",207
"Любопытный способ работы в Excel. А я на следующей неделе расскажу, как собирал дашборд в Excel на основе Superset без какого-либо Python и даже почти без макросов 🙂",208
"Пропусти я такую новость - плакал бы потом горькими слезами.  Ребятки запилили Jupiter Notebook в Excel'ке. Действительно, зачем выбирать между Python и аналитикой в уютных таблицах (не будем никому рассказывать, что есть еще BI), давайте ""замочим"" VBA и совместим все в один инструмент (а что, а вдруг).  Если серьёзно, это, конечно, на грани добра и зла, но может стать подспорьем для тех, кто только начинает переходить на сторону питона. Можно даже придумать пару боевых кейсов, когда может потребоваться экспорт графиков из ноутбука на лист Excel - для редких визуализаций или прогнозирования, к примеру (если вкусы весьма специфичны).  🔗 Ссылка",209
"Для прохождения сертификации Tableau Desktop Associate я наткнулся на курсы elearning от Tableau. А получив сертификацию, подумал — какие программы обучения предлагают другие BI-инструменты?  Так как первым делом мне под руку попались обучающие гайды по PowerBI, в новом материале хочу поделиться собственным опытом сравнения программ обучения Tableau и PowerBI: какие отличия в оформлении и структуре материалов, какой дизайн отчётов получается в гайдах обоих систем и как проверяются полученные знания.  Читайте результаты сравнения в новом материале блога.",210
"Для отслеживания самых заметных мероприятий посвященных Big Data, Machine Learning, Data Science, Data Engineering, BI/DWH и другим направлениям, связанным с обработкой данных, рекомендую подписаться на канал ""Data online events & Moscow meetups""  Предложить свой ивент можно, написав @NikolayKrupiy, @Ajvol  👉🏻 Подписаться на t.me/data_events",211
"Как бы ни шеймили Excel, он по прежнему остаётся одним из основных инструментов в работе аналитика. Раньше я работал с ним на протяжении многих лет: у меня богатый опыт в написании макросов, автоматизации отчётности, расчётах всевозможных показателей эффективности.  Поэтому сегодня видео для максимально широкой аудитории: дашборд в Excel на примере датасета Superstore. Все фишки, детали, лайфхаки и нюансы в ролике на 40 минут перед самым Новым годом. Подарок начинающему аналитику. 🙂  Видео получилось интересным, потому что раскрывает всю мощь этого инструмента для работы с таблицами. А ещё я совершенно бесплатно делюсь рецептами эффективного построения дашборда, которые сходу не просто загуглить.  Посмотрите на полученный результат, на оценки нашей команды в материале блога и ответьте на два небольших вопроса.  #гайдпоbi",212
"Большая подборка материалов, посвященных машинному обучению, анализу данных и применению алгоритмов ML в бизнесе  https://habr.com/ru/article/533242/",215
"Наш зритель на YouTube (кстати, подписывайтесь на канал) Людмила Курьянова предложила модифицировать формирование графика «Динамика прибыли», чтобы отказаться от макросов.  Вот её комментарий: Добрый день! Хороший дашборд, спасибо за идеи. Мои рекомендации для Графика «Динамика прибыли» (не используя макрос) - Рядом с построенной сводной создать таблицу с данными, ссылающимися на сводную. Получить таким образом Поля год, месяц, месяц-год, прибыль. Для столбцов текущее значение и значение прошлого периода использовать формулу с условием (проверять на равенство ячейку с месяцем-год ‘Pivot tables’$A$4, и, соответственно, будут подтягиваться либо значение, либо НД()). То есть, если будет меняться значение на срезе Месяц-Год, значения в столбцах Текущее значение и Прош. значение будут пересчитаны. Далее построить 3 графика- Прибыль без маркеров, для текущ. и прош.значений выбрать график с маркерами и далее настроить внешний вид маркера. Исходную сводную оставить подключенной только к срезу Регион.  Мне персонально не очень хотелось отходить от концепции «все на сводных таблицах», но такой сценарий, конечно, имеет право на жизнь. Выкладываем обновленную версию Excel-книги на GitHub.",216
Классное пособие! ❤️,217
"Вместо итогов года  Очень скоро настанет момент, когда салат Оливье уже не лезет, все выпуски ЧБД пересмотрены, Дудь надоел, пить не хочется и вот эти все комедии по ТВ дико утомили. Есть предложение! Го учиться и развиваться в 2021ом году?  📺 ЧТО ПОСМОТРЕТЬ? Моя небольшая подборка профессионального контента из нашего аналитического коммьюнити, которое рекомендую посмотреть на новогодних каникулах: • Интервью Толи Карпова, реально классный контент с интересными людьми из рынка • Видеоподкасты Ромы Бунина, эксперты рынка разговаривают о визуализации данных, об аналитике  • Бесплатный видеокурс DataLearn Димы Аношина, зачастую встречаются интересные темы и эксперты рынка, да и сам Дима в формате модулей рассказывает довольно много об инжиниринге данных и об инструментах  • Записи с Матемаркетинга — постепенно появляется контент 2020го года, а также доступен более старый контент  • Рома Нестер, с которым мы достаточно давно знакомы еще по Юлмарту, берет интервью у экспертов индустрии в рамках магистерской программы ВШЭ   • Наш YouTube-канал LEFTJOIN, в рамках которого обозреваем сейчас BI-инструменты    🇺🇸 Если все хорошо с английским, то можно еще изучить: ◦ Видео с конференции FutureData, рассказывал о ней в отдельном посте блога ◦ Записи с недавней конференции Coalesce о dbt, о которой писал отдельный пост с саммари ◦ В конце концов, я писал отдельный пост на тему бесплатного англоязычного фундаментального образования.  🎧 ЧТО ПОСЛУШАТЬ? Если смотреть не хочется, но хочется послушать, то: • Аудиоверсии видеоподкастов Ромы Бунина • Подкаст про технологии «Запуск завтра» • Подкаст от Geekbrains «Выхожу с понедельника» — несколько раз натыкался на этот подкаст, но, к сожалению, прослушать еще не успел, поэтому не знаю можно ли рекомендовать 🤷‍♂️  🇺🇸 Если хочется послушать на английском языке, то: ◦ Data Engineering podcast  ◦ Digital Analytics Powerhour  @leftjoin",219
"Что делать, если в датасете понадобилось трансформировать данные в реляционный вид, но он построен на Custom SQL Query из базы данных, у которой в арсенале нет подходящей функции, а конструкций с множеством UNION ALL и повторяющимися подзапросами хочется избежать? Делимся в новом материале найденным рецептом, который делает UNPIVOT данных при помощи CROSS JOIN:  https://leftjoin.ru/all/unpivot-with-cross-join/",220
"Статья про то, как управлять временем, работая удаленно. Как находить время на свою семью, хобби, и полезные дела, как организовать свой день, используя простейшее приложение Календарь.  В целом, все довольно известно, но актуально напомнить себе о такой опции.",221
В прошлом году я делал подборку хороших бесплатных курсов фундаментального математического образования доступного бесплатно и онлайн (на английском языке).  А вчера наткнулся на очень интересную подборку полной программы бесплатного образования в Computer Science. Программа разбита на годы и семестры и состоит из видео и плейлистов на Youtube.,223
"Диаграмма в виде воронки позволяет визуализировать достижение целей по ряду этапов: например, конверсию пользователей. В новом материале блога рассказываем, как построить такую воронку в Tableau:  https://leftjoin.ru/all/funnel-chart-v-tableau/",224
Запись моего первого выступления на Матемаркетинг в прошлом году (всего выступлений было два),227
"Какой он - современный облачный data-стек?  Николай Валиотти ( @leftjoin) объясняет подход к проектированию аналитической инфраструктуры, обосновывает использование Clickhouse при построении облачной аналитики и рассказывает о его же нюансах и говорит про Redash с точки зрения инструмента для визуализации.  Смотреть видео - YouTube, ~20 минут  @internetanalytics",228
"На днях Денис Соловьев (@ds_im) из канала Smart Data взял мини-интервью о том, чем и как занимается наша компания, какие роли в нашей команде. Рассказываю об этом Денису и его подписчикам в соответствующем посте (ниже сделаю репост).  А вообще у Дениса аж три мини-интервью получилось сразу, поэтому можно их все и прочитать.",229
Вот тут рассказываю:,230
"Николай Валиотти: ""В основном мы работаем с различными digital и мобильными стартапами, помогаем им выстроить end-to-end аналитику. Другими словами, мы работаем со спектром задач от проектирования хранилища / озера данных, построения процессов инжиниринга данных до построения отчетности и иногда даже некоторых моделей машинного обучения. Персонально я успел поработать в ряде крупных организаций и занимался анализом данных с разнообразным стеком решений, однако в последние годы перед стартом своей компании работал в стартапе, который уже тогда начал работать с так называемым modern data stack. Меня это невероятно увлекло и вдохновило на то, чтобы и другие компании могли компетентно использовать современные облачные решения и получать максимальную пользу от собственных данных.  Мы в некотором смысле стартап (по духу), хотя, конечно, больше развиваемся как традиционная консалтинговая компания. У нас небольшой штат сотрудников и соответствующих ролей, о которых речь пойдет дальше.  Поскольку работаем параллельно с несколькими проектами одновременно бОльшая часть команд кросс-функциональна, что означает, что в каждом проекте есть выделенный сотрудник, который лидирует по проекту, а другие коллеги функционально помогают ему в достижении поставленной цели.  Среди наших сотрудников имеются: Data Engineer - работы с построением архитектуры хранилища, среди инструментов Kafka, Airflow, среди СУБД: BigQuery, Redshift, Clickhouse, Redshift, Vertica, MySQL, разумеется, SQL и Pythoh. Analytics Engineer - работы с инструментов dbt, построение моделей данных в Looker, работа с Python для обработки данных, естественно, SQL 2x Data Analyst - мы используем ряд инструментов в зависимости от потребностей и возможностей заказчика: Tableau, Looker, Redash, PowerBI и Metabase, ребята умеют работать в этих инструментах и естественно используют SQL. Ряд задач, например, построение классификационных моделей мы строим с использованием Python, используем Jupyter, в некоторых случаях Collab. 2x Junior Data Analyst - помогают более старшим аналитикам и решают более маленькие кусочки задач с тем же стеком технологий.  В будущем планирую выстраивать организационную структуру, поскольку найм сотрудников горизонтально все-таки невозможен бесконечно и система из более 7 человек будет работать неэффективно""",231
Интересный тул для любителей PowerBI,232
"В рамках задач self-service возможности Tableau, на мой субъективный взгляд, выше Power BI, но ненадолго. Charticulator позволяет создавать практически любой шаблон диаграммы, который затем можно импортировать в PowerBI. https://charticulator.com/ Видеоуроки: https://charticulator.com/docs/video-tutorials.html Практический пример: https://youtu.be/xS6GyVpt7lY",233
Интересное комбо в статье по ссылке: построение моделей машинного обучения на движке BigQuery с использованием dbt,234
"​​Пошаговое руководство запуска моделей машинного обучения в dbt и BigQuery ML без проблем, связанных с управлением инфраструктурой.  @BigQuery",235
"Как-то раз на YouTube мы нашли гайд по Radial Pie Gauge Chart в Tableau. Нам он очень понравился — диаграмма сильно напоминает кольца активности Apple Watch. Но по задумке автора кольца графика останавливаются на 270 градусах, а все цели сравниваются только между собой. Мы доработали график — показываем, как сделать масимально приближенную к кольцам активности реализацию в Tableau:  https://leftjoin.ru/all/radial-pie-v-tableau/",236
"Недавно мы завели аккаунт в Instagram (подпишитесь!). В новом материале расскажем о том, как с использованием Python и Selenium можно автоматизировать часть действий в социальной сети.  Что с этим делать — на усмотрение читателя. Решения для масслайкинга и массфоловинга решили не описывать в силу их сомнительной легитимности и эффективности.  https://leftjoin.ru/all/instagram-python-selenium-bot/",238
"Один из самых популярных и известных алгоритмов кластеризации — k-means, его знает каждый, кто хоть как-то начинал работу с методами машинного обучения.  Совершенно понятно, что про k-means уже написано огромное количество материалов, что на R, что на Python, но мне попалась интересная ссылка-визуализация того, как работает алгоритм.   Если только начинаете знакомиться, то можно довольно быстро понять принцип обновления центроидов в кластерах.",239
