msg_id,msg_content
468,"Тесла анонсировала, что переходит полностью на зрение с помощью камер и прекращает использование лидаров и радаров. Для начала на всех моделях Model 3 и Model Y отключат радары и лидары, и прекратят их ставить на новые машины. Затем уберут их на других моделях.  Почему? Маск недавно затвитил: «Зрение имеет гораздо большую точность, поэтому лучше сделать упор на зрение, чем собирать данные с других сенсоров». Некоторые компании в индустрии беспилотников предпочитают использовать относительно дорогие лидары и радары в дополнение к недорогим камерам, потому что они предоставляют больше информации и, следовательно, большую безопасность. Сторонники только камер возражают, что люди могут безопасно управлять автомобилем, пользуясь только визуальным сигналом, поэтому мы должны создать ИИ, который делает то же самое.  Маск, как известно, очень любит наобещать с три короба и ничего не выполнить в срок. Я считаю, удешевлять беспилотники, безусловно, нужно, но не ценой точности и безопасности на дорогах. Лидары и радары могут выдавать большую точность на больших расстояниях и при плохом освещении, кроме того они «видят в 3D» из коробки. Поэтому, возможно, ещё рано от них совсем отказываться. Надеюсь, такое решение не увеличит число аварий с участием Теслы.  Во время перехода на «только камеры» автомобили с Tesla Vision будут поставляться со следующими ограничениями: - Автопилот будет ограничен максимальной скоростью 75 миль в час и большей минимальной дистанцией следования. - Умный вызов (когда машина сама к тебе подъезжает) и экстренный уход с полосы движения могут быть отключены."
478,"​​#стартапы На днях появился новый стартап под названием Waabi, занимающийся автономным вождением. Основал его не кто-то, а Ракель Уртасун — очень маститая женщина, которая является профессором в Университете Торонто и была главным научным сотрудником Uber по автономному вождению. Имя очень громкое не только в индустрии, но и в академическом мире.  Фокус нового стартапа — на ускорении коммерческого развертывания автономных транспортных средств, начиная с грузоперевозок на дальние расстояния. Waabi собрал 83,5 миллиона долларов в раунде серии A. Интересно, что в проинвестировал сам Uber и такие известные учёные в области AI как Джеффри Хинтон, Ли Фей-Фей, Питер Аббель и Саня Фидлер.  Существующие коммерческие решения для автономного вождения, как правило, используют нейронные сети, которые решают отдельные задачи. Например, отдельно идет детекция объектов, затем предсказание будущих траекторий агентов, а затем планирование действий и маршрута. Все это приправляется ручными правилами и объединяется в систему.  Согласно пресс-релизу о запуске, технология Waabi использует «глубокое обучение, вероятностный вывод и комплексную оптимизацию для создания программного обеспечения, которое можно обучать от начала до конца, интерпретировать и проводить очень сложные рассуждения». Звучит слегка как булшит/маркетинг. Однако, стремление сделать весь процесс вождения с помощью AI одной цельной системой (а главное интерпретируемой) - это хорошая идея, так как уменьшается влияние отдельных захардкоженых человеком правил, и становится возможным заглянуть под капот этого интеллекта.  Из забавного, Waabi нанимает сейчас только программистов и ML инженеров, что довольно странно, учитывая их амбициозную цель создать кардинально новый подход для автономного вождения (как это сделать без R&D?)."
479,"Люблю искусство. Выглядит, конечно, здорово (я о том, что в следующем посте). Но пока нет такой нейронки, которая бы достоверно повторяла стиль художника с точностью до характерного паттерна мазков кисти и адекватности контента."
483,"​​Facebook AI создал систему под названием TextStyleBrush, которая может заменять текст как в сценах, так и в рукописном тексте, используя только одно слово как пример стиля (one-shot).  Эта модель тренируется в self-supervised режиме, потому что чрезвычайно сложно собрать размеченные пары текста в разных условиях, плюс разметить сегментационные маски для текста (хотя я думаю, что это можно было бы сделать с помощью синтетической генерации).  Модель обучена понимать неограниченное количество стилей текста не только для разной типографики и каллиграфии, но и для различных преобразований, таких как повороты, изогнутый текст и деформации, которые происходят между бумагой и ручкой при написании. Модель также учитывает беспорядок на фоне и шум. Основная идея состоит в том, чтобы отделить содержание изображения (сам текст) от всех аспектов внешнего вида (стиль). То есть сеть учится выделять вектор стиля, который затем может примениться для стилизации любого текста.  Модель состоит из энкодера для стиля, энкодера для контента и генератора стилизованного текста (плюс разные лоссы). Архитектура генератора основана на StyleGAN2. Однако, StyleGAN2 является безусловной моделью, то есть генерирует изображения из случайно-сгеренированного шума. Но для создания фотореалистичных текстовых изображений необходимо уметь менять выход сети на основе двух отдельных аттрибутов: текстового контента и стиля. Чтобы этого достичь, авторы подают информации о стиле как дополнительный вход на каждом уровне генератора (это своего рода conditional instance normalization).  Для обучения используют следующие лоссы: 1) reconstruction и cycle loss ; 2) Дискриминатор true/fake; 3) Распознаватель — сеть, которая распознает текст на стилизованном изображении и следит за тем, чтобы контент не был потерян; 4) Классификатор гарнитуры текста (typeface) - предварительно обученная сеть, которая измеряет, насколько хорошо генератор сохраняет стиль, который подавался на вход.  Результаты просто поразительны! А теперь представьте, как вы проезжаете по оживленным улицам Гонконга и видите уличные знаки, проецируемые на лобовое стекло вашего автомобиля, но уже на русском языке. Еще, как бонус, вашему младшему брату (или вам) теперь станет проще перебить дату рождения на скане паспорта, чтобы купить пивка.  Подробнее можно почитать в блог посте либо в оригинальной статье."
485,"​​У всех в последнее время сильно бомбит из-за дипфейков, так как они становятся все более и более качественными и легкодоступными. Даже усы Пескова недавно высказывали своё негодование (лол).  Есть уже много работ по детекции дипфейков. Парни из Facebook AI пошли дальше. Вместо бинарной классификации real/fake, они обучили сеть предсказывать какой конкретно моделью было сгенерировано то или иное изображение. Если модель не известна (то есть не было такой в трейн сете), то будет предсказана конфигурация её архитектуры: сколько блоков было в генераторе, сколько слоев, сколько кернелов в конволюциях, с какими лоссами обучалась модель и т.д. То есть, по сути — это реверс инжиниринг дипфейк-модели на основе ее выхода.  Направление новое и прикольное, но у меня имеется определенный скепсис. Я не уверен, как у них с робастностью. Что если картинка была сгенерирована c помощью какого-то нового семейства моделей, которого не было в тренировочной выборке (например, VQVAE или VQGAN), и насколько хорошо их сеть будет работать если на кадре только лицо человека было заменено на сгенерированное? Из полезных применений такого реверс инжиниринга — это помощь в определении источника дипфейков при некой массовой атаке. Например, если на FB будут повально постить фото Байдена/Путина/... в непристойных ситуациях, то можно будет определить какая конкретно фабрика тролей за этим стоит.  Подробнее про работу тут."
492,"​​Facebook серьёзно взялся за интернет-шопинг и планируют скоро выкатить визуальный поиск в Instagram — можно будет искать похожие продукты просто по одному фото. Строят эту технологию на улучшенной сетке для Product Recognition и Deep Metric Learning — GrokNet, которую Facebook Applied AI Research показал еще в прошлом году.   То есть цель фейсбука сейчас — сделать возможным для пользователя покупать любую вещь на любой фотке. Понравилась футболка или блейзер у кого-то на фото в инсте — просто кликаете на предмет и вас переносит в магазин с этим товаром. Либо смотрите лайв-стрим концерта своего любимого исполнителя и онлайн просматриваете во что он одет, и сколько это стоит. Звучит круто для шопоголиков!  Так как различных товаров и и объектов очень-очень много, то нейронка, которая лежит в основе этой технологии, должна уметь во время инференса работать с новыми классами объектов и новыми аттрибутами, которых не было в тренировочной выборке. Обычно это достигается с помощью обучения проекции из домена RGB картинок в какое-то многомерное Евклидово пространство, где, измерив расстояние между объектами, можно понять насколько они похожи. В этом случае вовсе не обязательно знать класс объекта, главное — это то, что похожие объекты будут проецироваться в одну область пространства. Также возможно обучить еще один энкодер, которые будет брать на вход текстовое описание продукта, например ""роскошны диван конца 19 века"", и тоже мапить в некую точку в пространства, по которой можно найти ближайшую картинку, измерив расстояние до соседних точек в этом пространстве.  Подробнее можно почитать тут."
495,"​​Нет дыма без искусственного интеллекта Автоматическая система предупреждает пожарных о начале пожара.  Южнокорейская компания Alchera обучила систему компьютерного зрения для мониторинга за более чем 800 камерами для обнаружения пожаров в округе Сонома, Калифорния.  Сверточная нейронная сеть (CNN) помечает видеокадры, в которых она распознает клубы дыма, а LSTM анализирует последовательность кадров, чтобы подтвердить классификацию. Если задымленность подтверждается, сигнал тревоги предупреждает оператора на центральной станции мониторинга.  Система была запущена в прошлом месяце. За первую неделю было зарегистрировано более 60 предупреждений с вероятностью ложных срабатываний 0,08%. Система обнаружил одно пламя за 10 минут до того, как первый человек-наблюдатель набрал 911. Если эта система окажется успешной, то сферу ее действия расширят и на другие лесные камеры, установленные по всему штату.  Почему это круто? В то время как другие системы обнаружения лесных пожаров полагаются на единичные аэрофотоснимки или спутниковые снимки, эта система постоянно наблюдает с помощью камер на земле, что позволяет обнаруживать опасности на ранней стадии и с меньшими затратами (ну, только за камеры и за интернет платить надо)."
501,"​​Рад поделиться с вами хорошей новостью. Наша команда (я, Степан Конев и Кирилл Бродт) заняла 3-е место на Waymo Motion Prediction Challenge 2021.  Чтобы спланировать безопасный и эффективный маршрут, автономное транспортное средство должно предвидеть будущие движения других агентов вокруг него. Прогнозирование движения - чрезвычайно сложная задача, которая в последнее время привлекла значительное внимание исследовательского сообщества. Мы предлагаем простой, но довольно мощный метод для прогнозирования сразу нескольких траекторий движения. Наш метод основан исключительно на сверточных нейронных сетях (всё очень просто), в отличие от других методов которые используют self-attention и графовые нейронные сети.  Задача на соревке была следующая: учитывая траекторию агентов за последнюю 1 секунду (с координатами на карте), мы должны были спрогнозировать позиции агентов на дороге на 8 секунд в будущее.  Наша модель принимает растровое изображение с целевым агентом (тот, для кого идет предсказание) в центре на вход и напрямую предсказывает набор возможных траекторий вместе с их уверенностью (confidence). Растровое изображение получается растеризацией сцены и истории всех агентов. См.  пайплайн нашего подхода  впосте ниже↓.  То есть мы решаем задачу регрессии, но так как нужно предсказать несколько возможных вариантов траектории, то лосс нужен более хитрый, чем просто MSE (Mean Squared Error):  мы предсказываем распределение траекторий в виде смеси из K Гауссиан, и максимизиуем функцию правдоподобия этого распределения при условии, что GT траектория была сгенерирована этим распределением.  Несмотря на то, что предлагаемый подход прост в реализации, он показывает сравнимые результаты с SOTA методами на Waymo Open Dataset Motion Prediction Challenge (2021): наша модель занимает 1-е место по метрике minADE (minimum average displacement error) и 3-е место по метрике mAP (mean avarage precision).  Мы написали небольшую статью про нашу модель и зарелизили код!"
504,"​​Параллельные книги  Если вы когда-нибудь задумывались об изучении иностранных языков, то наверняка знаете, что такое параллельные книги. Это когда оригинал и перевод выровнены между собой и можно переключаться с изучаемого языка на родной и обратно. Выбор таких книг не велик и найти чтиво по душе гораздо сложнее чем два текста по отдельности.  Я наткнулся на классный открытый проект под названием Lingtrain Alignment Studio, который позволяет создавать красивые многоязычные книги с подсветкой соответствующих предложений. Под капотом используются модели машинного обучения, а именно sentence transformers и гугловая Language-Agnostic BERT Sentence Embedding. Последняя из коробки поддерживает более сотни языков.  Выравнивание происходит на основе эмбеддингов предложений (под этим странным термином скрываются всего лишь вектора чисел), которые выдает модель, и рассчета близости между ними. Дополнительные алгоритмы обрабатывают случаи, когда одно предложение было переведено как несколько и наоборот, что является камнем преткновения для подобных проектов.  На выходе можно скачать книгу, настроить для нее стили и сохранить в pdf формате. Также есть возможность выкачать чистый параллельный корпус и дообучать на нем уже свои языковые модели. Код проекта открыт, про проект есть статья на хабре и видео о том, как им пользоваться. Наконец-то я выучу немецкий до уровня C1 (нет)!"
505,"​​Есть байка, что 99% процентов кода, который вы производите каждый день, уже кем-то написан. Так вот, Gitub в сотрудничестве с OpenAI выпустил  убийцу профессии кодера — GitHub Copilot. Не зря же Microsoft купил GitHub.  Copilot использует контекст кода, над которым вы работаете, и дописывает вам целые строки или целые функции. Теперь писать тесты и изучать новые API можно без утомительного гугления. По мере того, как вы кодите, система адаптируется к вашему стилю.  Под капотом у Copilot - модель OpenAI Codex, которая обладает обширными знаниями о том, как люди используют код, и значительно более эффективен, чем GPT-3, в генерации кода. Всё это дело было обучена на открытых исходниках с GitHub. Соответственно, Copilot умеет работать со многими фреймворками и языками (Python, JavaScript, TypeScript, Ruby, Go, и т.д.). API к внутренней модели Codex ребята из OpenAI обещают зарелизить до конца лета, и можно будет строить свои приложения для работы с кодом на базе этой модели.  Я даже стал в очередь на демо-доступ к Copilot, сделать это можно на странице проекта. Интересно только, где Copilot инференс гоняет? Думаю, что пока на серваках OpenAI."
511,"Я тут осознал, что не все подписчики знают о существовании такого крутого сообщества как Open Data Science. Это уникальное русскоязычное Slack-сообщество людей, заинтересованных в анализе данных, машинном обучении, дип лернинге и во всем что с этим связано. Всем новичкам очень советую туда вступить. Люди там делятся свои путем становления в сфере ML, объединяются в команды для совместных проектов и т.д. Там можно спросить любые вопросы (и на многие уже есть ответ) о том как начать изучать и как вкатиться поглубже в ML. Ребята там очень отзывчивые. Чтобы вступить туда — нужно указать реферала, можете указать меня @asanakoy."
519,Голосование за сгенеренные картинки в посте выше ↑.
521,"Ушлые типы используют AI, чтобы находить новые музыкальные таланты  Интернет и социальные сети позволили музыкальным талантам проявиться таким образом, что раньше было невозможно — любой мамкин репер может загрузить трек на YouTube, SoundCloud или TikTok и начать собирать аудиторию. Для крупных звукозаписывающих компаний и скаутских агентств, которым необходимо выявлять тенденции и следующих звезд, этот поток контента трудно анализировать вручную. В последнее время для составления таких рекомендаций и выявления потенциальных талантов стали использоваться алгоритмы на базе искусственного интеллекта. Некоторые алгоритмы сосредотачиваются на самой музыке, анализируя саундтрек, чтобы увидеть, насколько хорошо он соответствует определенным жанрам, и прогнозируя, насколько он может быть популярен среди определенных групп аудитории. Другие алгоритмы фокусируются на контексте — сколько прослушиваний у трека на стриминговой платформе, насколько популярен профиль исполнителя в социальных сетях и т.д.  Применение аналитики для выбора талантов не ново, применение в спорте, например, было показано в фильме ""Человек, который изменил всё"". Однако, не все уверены, что принятие аналогичных решений на основе аналитики может оказать устойчивое влияние на музыку. Правила в спорте меняются редко, а тренды и направления в музыке и поп-культуре более динамичны и непредсказуемы.  В общем-то сейчас AI находится на стадии зародыша, и он может предсказывать только то, чему его научили. И понятно, что какой-нибудь новый, ранее неизвестный жанр музыки может быть воспринят неадекватно такой системой. Хотя в случае нового жанра, AI может попытаться сказать, что это что-то новенькое, непохожее на все известное, что тоже может являться полезным сигналом для музыкальных лейблов."
522,"Вот это крутая вещь (пост снизу)! Представьте дальнейшее развитие этой технологии. Анализ ваших болячек с помощью AI и вывод всех неполадок на телефон, по аналогии с приборной панелью автомобиля, где горят лампочки, если что-то неисправно."
524,"Сейчас подкину вам немного мяса. Боюсь, что поймут только те, кто владеет терминологией и немного знаком с Трансформерами (нет, не роботами)."
525,"​​DeepMind опубликовал статью, где они представляют новую архитектуру - Perceiver. Главная идея и мотивация — учиться на данных любой модальности (картинки, аудио, видео, точки, и т.д.) без использования каких-либо предположений о структуре этих данных знаний, таких как, например, локально гладкая 2D-структура картинок, которая повсеместно эксплойтится конволюционными нейронными сетями.  Предлагаемая модель Perceiver —  это хитрый трансформер, который имеет несколько преимуществ перед существующими архитектурами:  ➞ 1) Он может работать со входными последовательностями огромной длины (> 100k входов). Это достигается за счет использования Cross Atention блока, который принимает входные данные как ключи (K) и как значения (V), а вместо запросов (Q) использует гораздо меньшее число (512, если быть точным) скрытых векторов. Интуитивно это можно представить как этакий ботлнек на основе self-attention. На вход N векторов (где N может быть очень большим), а на выходе получаем ровно 512 (что является гиперпараметром).  ➞ 2) Из-за описанного выше Cross Atention блока, который выступает в роли ботлнека, мы можем сделать Perceiver очень глубоким. Все потому что каждый последующий self-attention блок будет работать со входами длины 512, а не N. Поэтому даже квадратичная по сложности от длины входа наивная реализация self-attention'а будет быстро работать и не будет выжирать всю память.  ➞ 3) Архитектура не опирается ни на какие структурные предположения о данных. Она настолько универсальная, что может применяться к различным модальностям почти без изменений (если не считать positional encoding). Можно запускать на картинках  - Perciever бьет базовый ViT-B, хотя вообще не содержит ни одной конволюции и на вход берет тупо 50 тыщ пикселей (для картинки 224x224). Также Perciever отлично работает на аудио, видео, на комбинации аудио+видео, и на облаках 3D точек.  Сама статья довольно хорошо написана, можете в ней почитать подробности."
528,"Rapid Motor Adaptation (RMA) - это end-to-end система, основанная на Reinforcement Learning, которая тренируется в симуляции и выдает напрямую положение суставов, не полагаясь на заранее заданные шаблоны движения ног или другие примитивы управления [как это, например, сейчас работает у Boston Dynamics, насколько мне известно].  С RMA робот демонстрирует способности, фундаментальные для всех интеллектуальных агентов, - способность адаптироваться к факторам окружающей среды, таким как вес рюкзака, внезапно брошенного на него, или количество трения на новой поверхности, независимо от каких-либо визуальных входов вообще. Смотрим видео!  Подробнее можно почитать тут."
536,"​​Белки необходимы для жизни, и понимание их структуры может облегчить понимание их функций и принципов работы в организме. Осенью прошлого года компания DeepMind совершила очередной прорыв. Они представили AlphFold - нейронку для прогнозирования трехмерной структуры белка по последовательности аминокислот.  Задачу прогнозирования трехмерной структуры белка безуспешно пытались решить на протяжении более 50 лет, и AlphFold позволила ученым быстро получать результаты довольно близкие к уровню точности, который достижим в реальных физических экспериментах. AlphFold — это первый вычислительный метод, который может предсказывать структуры белка с атомарной точностью, даже если эта структура (либо подобная) не была известна ранее.  Сегодня DeepMind опубликовал слегка улучшенную версию AlphaFold в элитном журнале Nature и весь исходный код модели на GitHub (!). Приятный бонус — это 62-страничный доп. материал к статье, который подробно описывает все детали пайплайна с примерами в виде псевдо-кода. Теперь можно зарыться на выходные и реально изучить всю подноготную!  Исходный код  | Статья в Nature - Highly accurate protein structure prediction with AlphaFold"
539,"OpenAI распускает свою команду, которая занималась исследованиями связанными с робототехникой. Это как раз та команда, которая, например, обучила роботическую руку собирать кубик Рубика с помощью реинфорсмент лернинга. Такое решение было принято, потому что компания считает более перспективными исследования в областях, где не нужно физическое оборудование (кроме серверов, конечно), и уже есть много доступных данных. А так же из экономических соображений, так как производство софта и сервисов — это бизнес с гораздо более высокой маржой.  Да, хохма в том, что некоммерческая организация OpenAI все больше и больше задумывается о прибыли. Это можно понять, ведь для создания общего искусственного интеллекта (AGI), способного изучить все задачи, которые умеет делать человек и даже больше, нужно много денег.  Ни для кого не секрет, что также и исследования в области робототехники — очень затратная деятельность, требующая больших инвестиций. Поэтому компаний, занимающихся этим, не так много. Из крупных и успешных на ум приходит только Boston Dynamics, которая здорово походила по рукам. Знали ли вы, что в 2013 Google купил Boston Dynamics, затем Google тоже свернул свою программу с роботами и в 2017 продал Boston Dynamic японской фирме SoftBank. На этом приключения Boston Dynamics не закончились, и в декабре 2020 SoftBank перепродал 80% акций (контрольный пакет) автопроизводителю Hyundai. Выглядит эта пляска как-то неладно, как будто каждая компания через несколько лет понимает, что на роботах из Boston Dynamics пока трудно заработать и перепродаёт её другому лопуху.  В любом случае, очень интересно наблюдать за тем, какие фокусные направления выбирают титаны исследований в области AI. Но мне немного жаль, что роботы пока плетутся в арьергарде этих исследований."
541,"Новости из мира нейроинтерфейсов (Brain-computer interfaces). Facebook Reality Labs совместно с Университетом Сан-Франциско впервые продемонстрировали, что лишенный речи (парализованный) человек может почти мгновенно передать свои слова, только лишь подумав о том, как он их говорит.  Обошлось не без ограничений. Прибор на голове регистрирует нейронную активность мозга и декодирует ее в слова. Сам прибор — это электрод, имплантированный в череп (да, типа того, что Илон Маск продвигает). Набор распознаваемых слов ограничен — их всего 50, но их них можно составить более тысячи предложений. Точность декодирования 74%, а скорость 15 слов в минуту, что довольно неплохо.   Это первый в своем роде эксперимент, когда активность нейронов коры головного мозга парализованного человека была декодирована в полные слова. До этого похожие эксперименты работали только на человеке, который действительно вслух произносил слова (то есть он не был парализован)."
544,"​​Ученые из Toyota Research Institute научили роботов делать базовые домашние дела.  В чем сок? Модель которая позволяет роботу видеть и понимать пространство обучена сугубо на синтетических данных. А сам робот не имеет никаких depth-камер или лидаров. В голове робота только пара обычных камер.  Почему это интересно? У каждого в квартире есть множество прозрачных, или зеркальных предметов. Традиционные RGB-D камеры очень плохо работают с такими объектами из-за того, что ИК-излучение, спощьзуемое в depth-камерах, проходит сквозь такие предметы либо отражается от них. Поэтому было важно найти способ работать с любыми предметами, независимо от их текстуры. Геометрия объекта тут первостепенна.  Детали Робота протестировали на четырех домашних интерьерах. С новым бинокулярным ""зрением"" он может успешно хватать сложные объекты в 95% случаев, тогда как модель с RGB-D сенсором успешна только в 35% случаев. Сама модель (см картинку ниже) берет на вход кадры с левой и правой камеры и пропускает через Feature Pyramid Network (FPN), на выходе выдавая: 1) сегментационные маски, 2) ориентированные 3D bounding box-ы объектов, 3) ключевые точки объектов, и 4) disparity map, которая дает представление о глубине сцены. Затем, используя такое разложение сцены, другой модуль решает, как удобнее всего схватить объект.  Есть код для обучения модели. Подробнее в блог-посте от авторов."
